user_id,age,country,subscription_type,registration_date,total_watch_time_hours
U0001,21,Argentina,Basic,2022-10-02,58.0
U0002,44,Mexico,Standard,2022-09-30,75.3
U0003,20,Argentina,Standard,2023-01-24,360.0
U0004,39,Peru,Standard,2022-12-15,513.0
U0005,28,Colombia,Basic,2022-05-19,192.8
U0006,39,Colombia,Standard,2023-12-20,156.2
U0007,18,Colombia,Basic,2023-03-23,428.0
U0008,56,Colombia,Standard,2023-01-22,47.8
U0009,38,Mexico,Basic,2024-01-20,229.7
U0010,20,Colombia,Standard,2022-04-05,444.7
U0011,26,Argentina,Premium,2022-01-22,336.6
U0012,45,Argentina,Standard,2023-08-11,292.4
U0013,48,Argentina,Basic,2022-02-07,386.7
U0014,39,Colombia,Basic,2023-06-19,402.7
U0015,31,Mexico,Standard,2023-09-16,387.6
U0016,54,Mexico,Standard,2022-11-19,17.4
U0017,59,Colombia,Standard,2023-06-10,240.7
U0018,52,Colombia,Basic,2023-10-16,360.2
U0019,56,Colombia,Premium,2023-05-13,477.2
U0020,44,Peru,Standard,2023-01-19,311.9
U0021,59,Argentina,Basic,2022-07-05,329.1
U0022,23,Colombia,Standard,2023-05-14,438.8
U0023,28,Chile,Basic,2022-12-09,192.6
U0024,43,Colombia,Premium,2022-03-17,728.7
U0025,42,Colombia,Standard,2023-08-10,469.9
U0026,19,Mexico,Premium,2022-07-13,653.9
U0027,58,Argentina,Standard,2023-01-08,17.6
U0028,40,Colombia,Basic,2022-08-23,208.8
U0029,50,Colombia,Standard,2024-01-12,496.6
U0030,21,Chile,Standard,2023-10-17,199.3
U0031,49,Argentina,Standard,2024-02-22,382.4
U0032,32,Argentina,Standard,2023-07-12,296.5
U0033,29,Chile,Basic,2022-06-07,545.7
U0034,46,Chile,Basic,2023-01-23,378.3
U0035,20,Mexico,Standard,2022-01-11,100.3
U0036,30,Mexico,Premium,2022-01-22,271.2
U0037,40,Argentina,Standard,2023-12-03,171.9
U0038,45,Mexico,Standard,2023-10-12,259.2
U0039,24,Argentina,Basic,2023-09-25,44.7
U0040,40,Mexico,Standard,2023-12-26,64.2
U0041,45,Colombia,Standard,2022-01-09,479.9
U0042,42,Argentina,Basic,2022-03-17,277.8
U0043,58,Peru,Premium,2023-02-18,43.7
U0044,38,Colombia,Basic,2022-09-26,478.3
U0045,20,Colombia,Basic,2024-02-08,313.7
U0046,44,Argentina,Premium,2022-12-23,43.3
U0047,58,Colombia,Premium,2022-06-17,797.6
U0048,44,Argentina,Standard,2022-03-07,434.0
U0049,61,Mexico,Basic,2022-05-28,173.1
U0050,33,Mexico,Basic,2024-02-01,48.4
U0051,58,Colombia,Standard,2022-02-28,412.0
U0052,42,Mexico,Basic,2023-07-05,160.0
U0053,59,Colombia,Standard,2024-03-01,495.5
U0054,42,Chile,Standard,2023-01-13,86.4
U0055,39,Chile,Basic,2023-06-14,68.6
U0056,28,Colombia,Basic,2023-08-27,219.2
U0057,21,Mexico,Premium,2024-01-30,168.6
U0058,60,Colombia,Standard,2022-01-22,195.8
U0059,65,Argentina,Standard,2024-01-28,391.9
U0060,63,Mexico,Premium,2023-11-16,415.9
U0061,45,Peru,Basic,2022-01-29,87.7
U0062,38,Mexico,Standard,2023-06-14,314.7
U0063,26,Peru,Premium,2022-12-18,561.1
U0064,52,Mexico,Standard,2024-01-14,206.1
U0065,54,Chile,Basic,2022-12-15,49.9
U0066,50,Argentina,Basic,2022-09-07,109.6
U0067,38,Argentina,Premium,2022-09-28,410.2
U0068,50,Peru,Basic,2022-03-24,478.5
U0069,50,Colombia,Basic,2022-07-24,381.5
U0070,19,Colombia,Standard,2022-07-18,186.7
U0071,32,Mexico,Basic,2022-03-29,304.0
U0072,23,Peru,Standard,2022-12-16,371.9
U0073,26,Colombia,Premium,2023-07-02,168.0
U0074,48,Argentina,Basic,2023-05-20,368.0
U0075,19,Argentina,Premium,2022-09-21,791.4
U0076,54,Mexico,Premium,2023-05-13,318.3
U0077,32,Mexico,Basic,2023-05-29,463.2
U0078,57,Argentina,Basic,2023-10-13,11.6
U0079,56,Argentina,Premium,2023-09-16,873.8
U0080,39,Argentina,Standard,2023-12-14,355.8
U0081,62,Colombia,Premium,2022-02-23,336.1
U0082,47,Argentina,Basic,2023-01-06,479.3
U0083,44,Argentina,Premium,2022-11-20,371.5
U0084,46,Colombia,Premium,2022-12-18,815.2
U0085,30,Chile,Standard,2022-07-05,236.8
U0086,21,Chile,Basic,2023-03-01,213.3
U0087,34,Chile,Premium,2022-06-29,859.2
U0088,42,Peru,Basic,2023-01-13,43.9
U0089,36,Mexico,Basic,2022-05-06,455.0
U0090,50,Colombia,Standard,2023-09-12,201.5
U0091,42,Argentina,Basic,2022-02-22,297.1
U0092,37,Mexico,Premium,2022-04-21,476.2
U0093,63,Colombia,Premium,2022-11-29,232.0
U0094,46,Mexico,Standard,2022-09-30,506.4
U0095,54,Peru,Standard,2023-08-09,192.9
U0096,62,Mexico,Standard,2023-04-12,275.9
U0097,35,Colombia,Standard,2022-12-12,573.5
U0098,29,Mexico,Standard,2022-05-07,26.1
U0099,60,Mexico,Standard,2023-05-24,399.1
U0100,48,Colombia,Basic,2023-07-02,31.0
U0101,52,Colombia,Basic,2022-05-25,152.7
U0102,41,Argentina,Premium,2022-08-15,605.7
U0103,20,Chile,Standard,2023-04-20,339.3
U0104,56,Mexico,Standard,2022-10-23,384.3
U0105,18,Argentina,Basic,2022-11-25,404.4
U0106,32,Chile,Standard,2023-12-06,534.0
U0107,34,Colombia,Premium,2022-10-19,184.7
U0108,44,Colombia,Standard,2023-01-02,261.9
U0109,56,Mexico,Basic,2022-01-14,228.1
U0110,28,Chile,Basic,2022-07-22,36.1
U0111,51,Colombia,Premium,2022-06-19,691.7
U0112,51,Mexico,Premium,2022-07-18,285.0
U0113,47,Peru,Basic,2022-08-18,148.4
U0114,23,Colombia,Standard,2022-04-16,299.5
U0115,52,Colombia,Basic,2023-07-25,132.2
U0116,30,Mexico,Basic,2023-06-18,471.0
U0117,22,Mexico,Premium,2023-10-13,1034.7
U0118,44,Chile,Basic,2023-04-05,64.4
U0119,54,Colombia,Premium,2023-03-20,689.8
U0120,45,Colombia,Standard,2023-06-14,221.6
U0121,49,Mexico,Standard,2022-05-18,126.3
U0122,31,Peru,Basic,2022-09-05,486.5
U0123,33,Mexico,Standard,2022-08-02,55.2
U0124,19,Peru,Basic,2022-01-12,233.2
U0125,38,Chile,Premium,2023-07-15,49.4
U0126,33,Mexico,Standard,2024-01-19,533.4
U0127,45,Argentina,Standard,2023-12-17,183.3
U0128,29,Mexico,Premium,2022-11-08,143.5
U0129,60,Argentina,Premium,2023-10-21,742.8
U0130,31,Mexico,Basic,2023-06-12,22.7
U0131,41,Colombia,Basic,2022-06-06,238.3
U0132,44,Peru,Basic,2022-08-16,260.2
U0133,45,Colombia,Basic,2023-02-05,284.6
U0134,42,Mexico,Basic,2022-03-20,492.0
U0135,49,Colombia,Standard,2022-02-13,180.6
U0136,48,Mexico,Basic,2024-01-19,363.0
U0137,24,Mexico,Basic,2022-05-10,76.8
U0138,40,Colombia,Basic,2023-07-20,311.2
U0139,46,Argentina,Basic,2023-06-18,183.0
U0140,41,Argentina,Basic,2022-08-07,201.4
U0141,21,Chile,Basic,2022-04-19,285.1
U0142,24,Mexico,Premium,2023-08-31,738.3
U0143,65,Mexico,Standard,2022-03-26,423.8
U0144,31,Peru,Premium,2023-01-29,196.2
U0145,26,Argentina,Premium,2023-05-02,173.5
U0146,18,Colombia,Premium,2022-06-16,872.4
U0147,23,Colombia,Premium,2022-12-05,56.8
U0148,27,Mexico,Premium,2022-08-13,515.3
U0149,30,Chile,Premium,2023-11-09,416.6
U0150,21,Mexico,Standard,2022-06-05,87.2
U0151,62,Mexico,Standard,2022-04-03,81.9
U0152,20,Mexico,Basic,2023-01-03,247.9
U0153,31,Mexico,Premium,2022-09-02,250.4
U0154,45,Colombia,Standard,2022-12-16,406.9
U0155,23,Argentina,Basic,2023-11-23,16.1
U0156,38,Argentina,Standard,2023-11-17,247.6
U0157,32,Mexico,Standard,2022-03-04,46.1
U0158,22,Colombia,Premium,2022-04-23,1018.9
U0159,36,Argentina,Premium,2022-08-29,142.6
U0160,18,Argentina,Standard,2023-09-12,591.9
